CodPedido,DtPedido,CodFilial,CodProduto,Qtd,VlUnit
1053,1605641598,13,245,15,75.77
1093,1605641638,12,260,10,86.56
2054,1605642599,15,138,6,2.22
1132,1605641677,5,135,8,98.05
2049,1605642594,13,119,11,10.54
2147,1605642692,15,260,5,86.56
1973,1605642518,4,267,1,3.62
513,1605641058,5,216,9,72.09
646,1605641191,1,101,6,29.4
2346,1605642891,13,221,8,82.37
1894,1605642439,1,156,10,9.82
2370,1605642915,11,214,12,98.17
2028,1605642573,3,201,10,56.63
1786,1605642331,7,299,15,67.38
2290,1605642835,15,195,3,88.73
694,1605641239,13,267,10,3.62
1076,1605641621,13,154,15,98.64
734,1605641279,3,191,8,59.04
557,1605641102,9,182,9,85.74
2064,1605642609,15,159,6,56.84
727,1605641272,3,119,9,10.54
2328,1605642873,14,251,2,46.53
1761,1605642306,10,276,7,52.66
2478,1605643023,3,160,13,96.85
2340,1605642885,12,267,13,3.62
808,1605641353,2,201,2,56.63
721,1605641266,14,213,15,4.76
1584,1605642129,2,240,2,57.45
741,1605641286,13,297,9,99.83
1437,1605641982,5,147,1,41.32
1940,1605642485,9,282,7,53.2
2083,1605642628,6,228,1,9.22
553,1605641098,2,253,9,81.59
566,1605641111,15,235,4,39.59
2004,1605642549,7,117,3,88.55
1798,1605642343,10,123,14,53.83
2464,1605643009,1,296,9,3.17
1935,1605642480,15,211,1,24.33
754,1605641299,6,196,11,46.36
692,1605641237,7,174,2,23.86
1892,1605642437,9,129,8,8.44
1552,1605642097,3,112,5,83.76
811,1605641356,4,207,15,62.27
1550,1605642095,9,287,5,25.14
1312,1605641857,2,123,4,53.83
1415,1605641960,15,238,4,32.07
2240,1605642785,7,161,5,64.81
1943,1605642488,12,178,1,62.8
1068,1605641613,3,155,7,72.08
574,1605641119,7,122,1,7.66
1922,1605642467,7,127,8,47.03
2472,1605643017,14,275,1,76.1
1917,1605642462,5,233,7,78.18
560,1605641105,14,144,5,80.35
628,1605641173,3,257,10,54.3
1172,1605641717,14,111,7,94.61
1096,1605641641,7,258,9,36.18
1293,1605641838,14,119,1,10.54
1578,1605642123,12,270,4,58.67
567,1605641112,10,210,9,9.34
504,1605641049,4,244,3,10.88
830,1605641375,5,186,14,26.28
2124,1605642669,14,220,11,29.6
646,1605641191,1,172,2,50.62
2167,1605642712,9,188,7,6.32
774,1605641319,6,116,10,2.73
2441,1605642986,3,117,5,88.55
2366,1605642911,3,211,2,24.33
1457,1605642002,12,274,5,89.96
950,1605641495,9,160,8,96.85
1959,1605642504,4,177,1,37.02
1968,1605642513,9,127,7,47.03
1408,1605641953,6,222,8,51.74
1267,1605641812,13,103,15,10.67
1791,1605642336,11,213,1,4.76
829,1605641374,15,171,1,52.21
876,1605641421,14,258,12,36.18
1679,1605642224,6,164,15,64.75
753,1605641298,15,234,7,58.85
679,1605641224,13,230,7,39.81
626,1605641171,14,136,14,94.76
2179,1605642724,11,193,1,65.11
997,1605641542,14,134,12,34.46
1226,1605641771,14,178,7,62.8
2153,1605642698,13,234,6,58.85
876,1605641421,14,145,7,48.42
2379,1605642924,4,170,12,54.75
586,1605641131,3,132,14,26.36
2200,1605642745,2,172,11,50.62
578,1605641123,2,155,5,72.08
1763,1605642308,9,147,15,41.32
1123,1605641668,11,195,6,88.73
1432,1605641977,9,259,5,14.61
682,1605641227,5,216,8,72.09
1475,1605642020,1,245,14,75.77
838,1605641383,4,261,1,57.78
1337,1605641882,4,283,15,49.28
615,1605641160,15,274,11,89.96
1341,1605641886,6,262,4,29.18
1067,1605641612,14,113,15,83.21
804,1605641349,8,126,3,36.93
588,1605641133,10,168,8,90.76
1233,1605641778,14,142,10,2.58
788,1605641333,4,144,10,80.35
2138,1605642683,14,192,6,63.48
1469,1605642014,11,230,4,39.81
1139,1605641684,13,104,4,33.21
1398,1605641943,12,275,11,76.1
1091,1605641636,8,286,13,61.54
621,1605641166,12,257,4,54.3
1448,1605641993,13,232,11,20.3
2003,1605642548,4,169,11,15.28
2490,1605643035,14,129,15,8.44
1320,1605641865,15,151,12,09.05
1127,1605641672,13,234,10,58.85
836,1605641381,13,191,11,59.04
917,1605641462,2,109,5,31.19
2119,1605642664,6,102,9,84.99
807,1605641352,13,249,3,83.81
793,1605641338,5,177,13,37.02
1524,1605642069,11,174,11,23.86
1285,1605641830,10,243,8,51.68
1674,1605642219,12,184,12,31.62
1212,1605641757,5,121,8,76.12
758,1605641303,2,141,13,87.55
